Date,DIS,XOM,PFE,MO,INTC
2003-03-21,14.594970703125,16.979393005371094,11.940316200256348,2.1208138465881348,10.841765403747559
2003-03-24,13.551362991333008,16.65394401550293,11.577926635742188,2.033050298690796,10.21142864227295
2003-03-25,13.777222633361816,16.823745727539062,11.9552583694458,2.02457594871521,10.337495803833008
2003-03-26,13.730488777160645,16.91336441040039,11.846912384033203,2.0215518474578857,10.251538276672363
2003-03-27,13.69155216217041,16.941659927368164,11.876809120178223,2.0154991149902344,10.07390022277832
2003-03-28,13.777222633361816,16.99354362487793,11.884278297424316,1.9446834325790405,9.867609024047852
2003-03-31,13.255412101745605,16.484161376953125,11.641439437866211,1.8133436441421509,9.328958511352539
2003-04-01,13.325509071350098,16.81431007385254,11.914166450500488,1.7007665634155273,9.409177780151367
2003-04-02,14.003076553344727,16.837902069091797,12.134592056274414,1.7945808172225952,10.039519309997559
2003-04-03,13.746065139770508,16.53131866455078,12.06734561920166,1.797607183456421,10.068174362182617
2003-04-04,13.582513809204102,16.75299835205078,12.254140853881836,1.7128709554672241,9.770191192626953
2003-04-07,13.816160202026367,16.53131866455078,12.14206314086914,1.7564502954483032,9.94210147857666
2003-04-08,13.341082572937012,16.30965232849121,12.082284927368164,1.8157650232315063,9.798847198486328
2003-04-09,13.317717552185059,16.257766723632812,11.843181610107422,1.8339223861694336,9.558171272277832
2003-04-10,13.504633903503418,16.3568115234375,11.858125686645508,1.8218183517456055,9.672779083251953
2003-04-11,13.89404296875,16.191741943359375,11.772202491760254,1.8514742851257324,9.592554092407227
2003-04-14,14.17441463470459,16.446434020996094,12.000094413757324,1.9053425788879395,9.83322525024414
2003-04-15,14.26008415222168,16.53131866455078,12.033720970153809,1.9640532732009888,9.816033363342285
2003-04-16,14.010862350463867,16.36153221130371,11.71616268157959,1.918657898902893,10.40626049041748
2003-04-17,14.330179214477539,16.521892547607422,11.71616268157959,1.9483147859573364,10.69277286529541
2003-04-21,14.369119644165039,16.446434020996094,11.805819511413574,1.9592100381851196,10.687043190002441
2003-04-22,14.696223258972168,16.705842971801758,11.88801097869873,1.9785782098770142,10.887603759765625
2003-04-23,14.98438549041748,16.668102264404297,11.637702941894531,1.9949196577072144,11.162660598754883
2003-04-24,14.524877548217773,16.569059371948242,11.577926635742188,1.9912891387939453,10.858948707580566
